liczba cząstek,Python,C bez flag,C -O,C -O2
100,19.734959840774536,3.09273,0.0960521,0.160393
200,18.009491443634033,6.28038,0.265214,0.259203
500,21.011006593704224,nan,nan,nan
750,nan,4.6456,0.50028,0.979375
1000,25.670453786849976,nan,nan,nan
1750,nan,42.4633,1.06495,nan
2000,33.90088891983032,49.9782,1.22161,2.32645
2500,nan,67.721,1.55103,2.82221
5000,55.53393793106079,132.495,3.14462,2.10992
10000,102.2237298488617,244.848,6.3732,4.18395
20000,223.13178753852844,479.701,24.3539,8.40359
50000,535.692586183548,1617.79,64.69090,21.5051
